Place,Lat,Lon,Globvalue
"Abilene, Texas",32.44874,-99.73314,0.45783551
"Addison, Illinois",41.9317,-87.98896,0
"Adelanto, California",34.58277,-117.40922,0
"Aiken, South Carolina",33.56042,-81.71955,0.225413969
"Akron, Ohio",41.08144,-81.51901,0.151344786
"Alabaster, Alabama",33.24428,-86.81638,0
"Alafaya, Florida",28.5641,-81.2114,0
"Alameda, California",37.80437,-122.2708,0.320149545
"Alamogordo, New Mexico",32.89953,-105.96027,0
"Albany, Georgia",31.57851,-84.15574,0.116398155
"Albany, New York",42.65258,-73.75623,0.197366867
"Albany, Oregon",44.63651,-123.10593,0.227860734
"Albuquerque, New Mexico",35.08449,-106.65114,0.101327589
"Alexandria, Louisiana",31.31129,-92.44514,0.169480505
"Alexandria, Virginia",38.80484,-77.04692,0.358251962
"Algonquin, Illinois",42.24113,-88.3162,0
"Alhambra, California",34.09529,-118.12701,0.167672592
"Aliso Viejo, California",33.56504,-117.72712,0.227802601
"Allen, Texas",33.10317,-96.67055,0.055619549
"Allentown, Pennsylvania",40.60843,-75.49018,0.058876877
"Aloha, Oregon",45.49428,-122.86705,0
"Alpharetta, Georgia",34.07538,-84.29409,0
"Altadena, California",34.18973,-118.13118,0
"Altamonte Springs, Florida",28.66111,-81.36562,0
"Altoona, Pennsylvania",40.51868,-78.39474,0.562508321
"Amarillo, Texas",35.222,-101.8313,0.235709669
"Ames, Iowa",42.03471,-93.61994,0.278205981
"Amherst, Massachusetts",42.36723,-72.51852,0
"Amherst, New York",42.97839,-78.79976,0.721306626
"Anaheim, California",33.83529,-117.9145,0.189100145
"Anchorage, Alaska",61.21806,-149.90028,0.264664997
"Anderson, Indiana",40.10532,-85.68025,0.156667003
"Andover, Minnesota",45.2333,-93.29134,0
"Ankeny, Iowa",41.72971,-93.60577,0.081838542
"Ann Arbor, Michigan",42.27756,-83.74088,0.103191751
"Annandale, Virginia",38.83039,-77.19637,0.250714622
"Annapolis, Maryland",38.97845,-76.49218,0.102889673
"Antelope, California",38.70824,-121.32995,0
"Antioch, California",38.00492,-121.80579,0.750893461
"Apache Junction, Arizona",33.41505,-111.54958,0.574550753
"Apex, North Carolina",35.73265,-78.85029,0.449060934
"Apopka, Florida",28.67617,-81.51186,0
"Apple Valley, California",34.50083,-117.18588,0.672677795
"Apple Valley, Minnesota",44.73191,-93.21772,0
"Appleton, Wisconsin",44.26193,-88.41538,0.273814774
"Arcadia, California",34.13973,-118.03534,0
"Arden-Arcade, California",38.6025,-121.37854,0
"Arivaca, Arizona",31.57481,-111.33232,0
"Arlington Heights, Illinois",42.08836,-87.98063,0.144029493
"Arlington, Massachusetts",42.41537,-71.15644,0.191683787
"Arlington, Texas",32.73569,-97.10807,0.196103741
"Arlington, Virginia",38.88101,-77.10428,0.227154868
"Arvada, Colorado",39.80276,-105.08748,0.44173511
"Ashburn, Virginia",39.04372,-77.48749,0.14208367
"Asheville, North Carolina",35.60095,-82.55402,0.216353523
"Aspen Hill, Maryland",39.07955,-77.07303,0
"Atascocita, Texas",29.99883,-95.1766,0
"Athens, Georgia",33.96095,-83.37794,0.348731304
"Athens-Clarke County, Georgia",33.96095,-83.37794,0
"Atlanta, Georgia",33.749,-84.38798,0.375379409
"Atlantic City, New Jersey",39.36428,-74.42293,0.361164333
"Attleboro, Massachusetts",41.94454,-71.28561,1.408333333
"Auburn, Alabama",32.60986,-85.48078,0.156418118
"Auburn, Washington",47.30732,-122.22845,0.334290036
"Augusta, Georgia",33.47097,-81.97484,0.377418369
"Augusta-Richmond County, Georgia",33.47097,-81.97484,0
"Aurora, Colorado",39.72943,-104.83192,0.469287583
"Aurora, Illinois",41.76058,-88.32007,0.275270289
"Austin, Texas",30.26715,-97.74306,0.524813665
"Aventura, Florida",25.95648,-80.13921,0
"Avondale, Arizona",33.4356,-112.3496,0
"Azusa, California",34.13362,-117.90756,0.68029661
"Bakersfield, California",35.37329,-119.01871,0.584589178
"Baldwin Park, California",34.08529,-117.9609,0
"Ballwin, Missouri",38.59505,-90.54623,0
"Baltimore, Maryland",39.29038,-76.61219,0.403066716
"Bangor, Maine",44.80118,-68.77781,0.304263653
"Banning, California",33.92557,-116.87641,1.376814309
"Barnstable Town, Massachusetts",41.70011,-70.29947,0
"Bartlesville, Oklahoma",36.74731,-95.98082,0.238700565
"Bartlett, Illinois",41.99503,-88.18563,0
"Bartlett, Tennessee",35.20453,-89.87398,0
"Baton Rouge, Louisiana",30.45075,-91.15455,0.1910666
"Battle Creek, Michigan",42.3173,-85.17816,0
"Bay City, Michigan",43.59447,-83.88886,0
"Bayonne, New Jersey",40.66871,-74.11431,0.654116819
"Baytown, Texas",29.7355,-94.97743,0.382576517
"Beaumont, California",33.92946,-116.97725,2.177067006
"Beaumont, Texas",30.08605,-94.10185,0.31090516
"Beavercreek, Ohio",39.70923,-84.06327,0.14917583
"Beaverton, Oregon",45.48706,-122.80371,0.205537273
"Bedford, Texas",32.84402,-97.14307,0.387689559
"Bel Air North, Maryland",39.53594,-76.34829,0
"Bel Air South, Maryland",39.53594,-76.34829,0
"Bell Gardens, California",33.96529,-118.15146,0.263283913
"Bell, California",33.97751,-118.18702,0.188384207
"Belleville, Illinois",38.52005,-89.98399,0
"Belleville, New Jersey",40.79371,-74.15014,0.133569463
"Bellevue, Nebraska",41.13667,-95.89084,0.066334244
"Bellevue, Washington",47.61038,-122.20068,0.317899481
"Bellflower, California",33.88168,-118.11701,0.740926554
"Bellingham, Washington",48.75955,-122.48822,0.303318907
"Beloit, Wisconsin",42.50835,-89.03178,0.414424811
"Bend, Oregon",44.05817,-121.31531,0.267392957
"Benton, Arkansas",36.33202,-94.11854,0.128052907
"Bentonville, Arkansas",36.37285,-94.20882,0.039896513
"Berkeley, California",37.87159,-122.27275,0.141190154
"Berwyn, Illinois",41.85059,-87.79367,0
"Bethel Park, Pennsylvania",40.32757,-80.0395,0
"Bethesda, Maryland",38.98067,-77.10026,0.110071038
"Bethlehem, New York",42.53175,-73.84735,0
"Bethlehem, Pennsylvania",40.62593,-75.37046,0
"Bettendorf, Iowa",41.52448,-90.51569,0.870599226
"Beverly Hills, California",34.07362,-118.40036,0.411830372
"Beverly, Massachusetts",42.55843,-70.88005,0
"Big Creek, Georgia",32.37792,-84.97049,0
"Bill Arp, Georgia",34.30705,-83.41155,0
"Billerica, Massachusetts",42.55843,-71.26895,0.430378314
"Billings, Montana",45.78329,-108.50069,0.326162426
"Biloxi, Mississippi",30.39603,-88.88531,0.187706866
"Binghamton, New York",42.09869,-75.91797,0.206201427
"Birmingham, Alabama",33.52066,-86.80249,0.284426327
"Bismarck, North Dakota",46.80833,-100.78374,0
"Blacksburg, Virginia",37.22957,-80.41394,0.222248648
"Blaine, Minnesota",45.1608,-93.23495,0.473811648
"Bloomfield Township, Michigan",42.56891,-83.38356,0
"Bloomfield, New Jersey",40.80677,-74.18542,0
"Bloomington, Illinois",40.4842,-88.99369,0.201878363
"Bloomington, Indiana",39.16533,-86.52639,0.273317941
"Bloomington, Minnesota",44.95751,-93.17848,0.183970877
"Blue Springs, Missouri",39.01695,-94.28161,0.301694915
"Boardman, Ohio",41.02423,-80.66285,0.285305938
"Boca Ciega, Florida",27.72308,-82.73149,0
"Boca Raton, Florida",26.35869,-80.0831,0.357208375
"Boise, Idaho",43.6135,-116.20345,0.290514023
"Bolingbrook, Illinois",41.69864,-88.0684,0.289334018
"Bonita Springs, Florida",26.33981,-81.7787,0
"Bossier City, Louisiana",32.51599,-93.73212,0
"Boston, Massachusetts",42.35843,-71.05977,0.188026702
"Bothell, Washington",47.76232,-122.2054,0.489422022
"Boulder, Colorado",40.01499,-105.27055,0.174037471
"Bountiful, Utah",40.88939,-111.88077,0.169400401
"Bowie, Maryland",38.94278,-76.73028,0
"Bowling Green, Kentucky",36.99032,-86.4436,0.159847314
"Bowling Green, Ohio",41.37477,-83.65132,0.332165561
"Boynton Beach, Florida",26.52535,-80.06643,0
"Bozeman, Montana",45.67965,-111.03856,0.183977796
"Bradenton, Florida",27.49893,-82.57482,0.126749082
"Braintree Town, Massachusetts",42.22232,-70.99949,0
"Braintree, Massachusetts",42.22232,-70.99949,0
"Brandon, Florida",27.9378,-82.28592,0.131465003
"Brandywine, Delaware",39.874,-75.57548,0
"Brazosport, Texas",28.95891,-95.37146,0
"Brea, California",33.91668,-117.90006,0
"Bremerton, Washington",47.56732,-122.63264,0.279255165
"Brentwood, California",37.93187,-121.69579,0.325300954
"Brentwood, New York",40.78121,-73.24623,0
"Brentwood, Tennessee",36.03312,-86.78278,0.555360135
"Bridgeport, Connecticut",41.16704,-73.20483,0.164165606
"Brighton, Colorado",39.98526,-104.82053,0.120353226
"Brighton, New York",40.57788,-73.95958,0
"Bristol, Connecticut",41.67176,-72.94927,0.224170965
"Brockton, Massachusetts",42.08343,-71.01838,0
"Broken Arrow, Oklahoma",36.0526,-95.79082,0.302715716
"Bronx, New York",40.84985,-73.86641,0.152824188
"Brookfield, Wisconsin",43.06057,-88.10648,0.781585921
"Brookline, Massachusetts",42.33176,-71.12116,0.467870436
"Brooklyn Center, Minnesota",45.07608,-93.33273,0
"Brooklyn Park, Minnesota",45.09413,-93.35634,0
"Brooklyn, New York",40.6501,-73.94958,0.391218504
