Place,Globvalue,Lat,Lon
"Abilene, Texas",0.23348306628809715,32.44874,-99.73314
"Addison, Illinois",0.0,41.9317,-87.98896
"Adelanto, California",0.0,34.58277,-117.40922
"Aiken, South Carolina",0.0,33.56042,-81.71955
"Akron, Ohio",0.26997609082727253,41.08144,-81.51901
"Alabaster, Alabama",0.0,33.24428,-86.81638
"Alafaya, Florida",0.0,28.5641,-81.2114
"Alameda, California",0.0,37.80437,-122.2708
"Alamogordo, New Mexico",0.5799831910129719,32.89953,-105.96027
"Albany, Georgia",0.33527729542617646,31.57851,-84.15574
"Albany, New York",0.3215527611114549,42.65258,-73.75623
"Albany, Oregon",0.5095468372108773,44.63651,-123.10593
"Albuquerque, New Mexico",0.26953939633461704,35.08449,-106.65114
"Alexandria, Louisiana",0.0,31.31129,-92.44514
"Alexandria, Virginia",0.4767754403266994,38.80484,-77.04692
"Algonquin, Illinois",0.0,42.24113,-88.3162
"Alhambra, California",0.47786688717468384,34.09529,-118.12701
"Aliso Viejo, California",0.3796710017497723,33.56504,-117.72712
"Allen, Texas",0.3604146783078085,33.10317,-96.67055
"Allentown, Pennsylvania",0.08784803828899791,40.60843,-75.49018
"Aloha, Oregon",0.0,45.49428,-122.86705
"Alpharetta, Georgia",0.21988642542959702,34.07538,-84.29409
"Altadena, California",0.6656719981355521,34.18973,-118.13118
"Altamonte Springs, Florida",0.1493000846938069,28.66111,-81.36562
"Altoona, Pennsylvania",0.0,40.51868,-78.39474
"Amarillo, Texas",0.185884860926143,35.222,-101.8313
"Ames, Iowa",0.4274423016434751,42.03471,-93.61994
"Amherst, Massachusetts",0.5108962859876441,42.36723,-72.51852
"Amherst, New York",0.0,42.97839,-78.79976
"Anaheim, California",0.4757519514968651,33.83529,-117.9145
"Anchorage, Alaska",0.34346974325630003,61.21806,-149.90028
"Anderson, Indiana",0.0,40.10532,-85.68025
"Andover, Minnesota",0.0,45.2333,-93.29134
"Ankeny, Iowa",0.1722019328949107,41.72971,-93.60577
"Ann Arbor, Michigan",0.12150981299185724,42.27756,-83.74088
"Annandale, Virginia",0.5381191880867968,38.83039,-77.19637
"Annapolis, Maryland",0.39458719856968366,38.97845,-76.49218
"Antelope, California",0.0,38.70824,-121.32995
"Antioch, California",0.3509610740852979,38.00492,-121.80579
"Apache Junction, Arizona",0.5100603622366675,33.41505,-111.54958
"Apex, North Carolina",0.9389455884606115,35.73265,-78.85029
"Apopka, Florida",0.15052805701819758,28.67617,-81.51186
"Apple Valley, California",0.34320295682911234,34.50083,-117.18588
"Apple Valley, Minnesota",0.0,44.73191,-93.21772
"Appleton, Wisconsin",0.14700496272473745,44.26193,-88.41538
"Arcadia, California",0,34.13973,-118.03534
"Arden-Arcade, California",0,38.6025,-121.37854
"Arivaca, Arizona",0,31.57481,-111.33232
"Arlington Heights, Illinois",0,42.08836,-87.98063
"Arlington, Massachusetts",0,42.41537,-71.15644
"Arlington, Texas",0.2610916090559637,32.73569,-97.10807
"Arlington, Virginia",0.1836571275903509,38.88101,-77.10428
"Arvada, Colorado",0.18258384544100925,39.80276,-105.08748
"Ashburn, Virginia",0.2784839924866587,39.04372,-77.48749
"Asheville, North Carolina",0.11500897823028708,35.60095,-82.55402
"Aspen Hill, Maryland",0.0,39.07955,-77.07303
"Atascocita, Texas",0.0,29.99883,-95.1766
"Athens, Georgia",0.052309695602845395,33.96095,-83.37794
"Athens-Clarke County, Georgia",0.0,33.96095,-83.37794
"Atlanta, Georgia",0.4403287759402727,33.749,-84.38798
"Atlantic City, New Jersey",1.1457627114957702,39.36428,-74.42293
"Attleboro, Massachusetts",8.664830503564504,41.94454,-71.28561
"Auburn, Alabama",0.8407473824992713,32.60986,-85.48078
"Auburn, Washington",0.0,47.30732,-122.22845
"Augusta, Georgia",0.39728249374416275,33.47097,-81.97484
"Augusta-Richmond County, Georgia",0.0,33.47097,-81.97484
"Aurora, Colorado",0.45760407424033045,39.72943,-104.83192
"Aurora, Illinois",0.25532316699283886,41.76058,-88.32007
"Austin, Texas",0.49826264559215605,30.26715,-97.74306
"Aventura, Florida",0.18027734974838913,25.95648,-80.13921
"Avondale, Arizona",0.0,33.4356,-112.3496
"Azusa, California",0.0,34.13362,-117.90756
"Bakersfield, California",0.338404160492027,35.37329,-119.01871
"Baldwin Park, California",0.0,34.08529,-117.9609
"Ballwin, Missouri",1.3008085838297967,38.59505,-90.54623
"Baltimore, Maryland",0.49178190216496787,39.29038,-76.61219
"Bangor, Maine",0.48631261760950845,44.80118,-68.77781
"Banning, California",0.0,33.92557,-116.87641
"Barnstable Town, Massachusetts",0.0,41.70011,-70.29947
"Bartlesville, Oklahoma",0.0,36.74731,-95.98082
"Bartlett, Illinois",0.0,41.99503,-88.18563
"Bartlett, Tennessee",0.0,35.20453,-89.87398
"Baton Rouge, Louisiana",0.42459244467586327,30.45075,-91.15455
"Battle Creek, Michigan",0.38649964529315567,42.3173,-85.17816
"Bay City, Michigan",0.22905402450401302,43.59447,-83.88886
"Bayonne, New Jersey",0.0,40.66871,-74.11431
"Baytown, Texas",0.39829687299529365,29.7355,-94.97743
"Beaumont, California",1.5054410629474424,33.92946,-116.97725
"Beaumont, Texas",0.5733756451991315,30.08605,-94.10185
"Beavercreek, Ohio",0.0,39.70923,-84.06327
"Beaverton, Oregon",0.2579853799628544,45.48706,-122.80371
"Bedford, Texas",0.0,32.84402,-97.14307
"Bel Air North, Maryland",0.0,39.53594,-76.34829
"Bel Air South, Maryland",0.0,39.53594,-76.34829
"Bell Gardens, California",0.17370568705725675,33.96529,-118.15146
"Bell, California",0.1609606226683992,33.97751,-118.18702
"Belleville, Illinois",0.17707014384836733,38.52005,-89.98399
"Belleville, New Jersey",0.0,40.79371,-74.15014
"Bellevue, Nebraska",0.0,41.13667,-95.89084
"Bellevue, Washington",0.7218967375706209,47.61038,-122.20068
"Bellflower, California",0.6187118644744255,33.88168,-118.11701
"Bellingham, Washington",0.17367453573974634,48.75955,-122.48822
"Beloit, Wisconsin",0.25596826539418727,42.50835,-89.03178
"Bend, Oregon",0.2621578537047698,44.05817,-121.31531
"Benton, Arkansas",0.10816119353991138,36.33202,-94.11854
"Bentonville, Arkansas",0.07653616749678632,36.37285,-94.20882
"Berkeley, California",0.24731347189232442,37.87159,-122.27275
"Berwyn, Illinois",0.28904205649624604,41.85059,-87.79367
"Bethel Park, Pennsylvania",0.0,40.32757,-80.0395
"Bethesda, Maryland",0.24318020024475076,38.98067,-77.10026
"Bethlehem, New York",0.0,42.53175,-73.84735
"Bethlehem, Pennsylvania",0.6891516311133005,40.62593,-75.37046
"Bettendorf, Iowa",1.1096756972301205,41.52448,-90.51569
"Beverly Hills, California",0.6073922810151928,34.07362,-118.40036
"Beverly, Massachusetts",0.30024504796107215,42.55843,-70.88005
"Big Creek, Georgia",0.0,32.37792,-84.97049
"Bill Arp, Georgia",0.0,34.30705,-83.41155
"Billerica, Massachusetts",0.0,42.55843,-71.26895
"Billings, Montana",0.17714419186556735,45.78329,-108.50069
"Biloxi, Mississippi",0.3716595952976215,30.39603,-88.88531
"Binghamton, New York",0.45274661146666684,42.09869,-75.91797
"Birmingham, Alabama",0.23326181790601452,33.52066,-86.80249
"Bismarck, North Dakota",0.0,46.80833,-100.78374
"Blacksburg, Virginia",0.08629867720360629,37.22957,-80.41394
"Blaine, Minnesota",0.0,45.1608,-93.23495
"Bloomfield Township, Michigan",0.0,42.56891,-83.38356
"Bloomfield, New Jersey",0.0,40.80677,-74.18542
